what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353033752
error,log,,,"Unable to validate connection settings.",1381353042112
error,log,,,"Unable to validate connection settings.",1381353042113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353042124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353044045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353047296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353049314
error,log,,,"Unable to validate connection settings.",1381353052375
error,log,,,"Unable to validate connection settings.",1381353052376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353052388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353054037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353055480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353062257
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381353063686
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381353066037
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --sidp=0x80, --id=0x7, --timestamp=1381349107] return code: 4, 'other error'",1381353066933
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x80, --id=0x7, --timestamp=1381349107, /cygdrive/c/Users/pwhite8/vlsi/fpga/software/isr_demo_final/isr_demo_final.elf] return code: 4, 'other error'",1381353069754
error,log,,,"Downloading ELF Process failed",1381353069756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353069766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353072011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353073087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353078456
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381353079881
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381353080745
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381353083585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353122316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353275652
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381353276380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381353283516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381353301532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381353305877
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381353308751
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381353309551
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381353312435
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381353318180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353771957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381353847106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381354051504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381354790691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381354795177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381354915007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381354915095
