what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1380206451762
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1380206451762
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1380206451762
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1380206451762
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1380206451762
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1380206451762
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1380206451762
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380206451762
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1380206451762
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380206451762
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1380206451762
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1380206451762
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1380206451762
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1380206451762
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1380206451762
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1380206451762
os,sysinfo,,,"win32",1380206451762
arch,sysinfo,,,"x86",1380206451762
ws,sysinfo,,,"win32",1380206451762
locale,sysinfo,,,"fr_CA",1380206451762
processors,sysinfo,,,"8",1380206451762
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380206451762
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1380206451762
java.specification.name,sysinfo,,,"Java Platform API Specification",1380206451762
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380206451762
java.specification.version,sysinfo,,,"1.6",1380206451762
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380206451762
java.version,sysinfo,,,"1.6.0_23",1380206451762
java.vm.info,sysinfo,,,"mixed mode",1380206451762
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380206451762
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380206451762
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380206451762
java.vm.specification.version,sysinfo,,,"1.0",1380206451762
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380206451762
java.vm.version,sysinfo,,,"19.0-b09",1380206451762
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206452635
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1380206453587
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1380206453650
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1380206476800
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1380206477954
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1380206477970
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1380206482166
error,log,,,"Project reg_test is closed",1380206482229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206482244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206487018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206492665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206494647
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1380206494647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206494647
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380206498079
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380206498890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206501542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206502369
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1380206502369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380206502369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206512821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206527218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206529746
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1380206540369
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380206554955
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1380206555033
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1380206555049
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1380206555049
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1380206610039
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1380206610102
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1380206610897
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1380206611412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206615248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1380206621703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206621969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380206623107
